em plan ledhu,no plan,negative
perfect match,ideal match,positive
friendly vibe,good vibe,positive
pichhi matalu,crazy talk,negative
double impact,big impact,positive
confused vibe,confusing situation,neutral
mental stress,mental pressure,negative
positive vibe,good energy,positive
slow gaa undi,it's too slow,negative
busy schedule,hectic plan,neutral
relaxing undi,feels relaxing,positive
em waste ledu,nothing is wasted,positive
baagane undi,very good (T),positive
trouble undi,there is trouble,negative
chakabadaram,chaotic/mess,negative
alangaa undi,it's boring/sluggish,negative
dhosukunnava,did you get it?,neutral
pagalu ratri,day and night,neutral
superga undi,it's super,positive
kaani better,but better,positive
timepass hai,just passing time,neutral
tension ledu,no tension,positive
full bakwaas,complete nonsense,negative
baaga avvadu,didn’t go well,negative
konchem over,slightly overdone,negative
chusthunnanu,watching,neutral
mast feeling,great feeling,positive
clear cheyyi,make it clear,neutral
mokka matalu,useless words,negative
chaala happy,very happy,positive
full clarity,complete clarity,positive
sarigga ledu,not proper,negative
boring topic,dull topic,negative
funny moment,hilarious moment,positive
safe ga undi,it’s safe,positive
shock ayyanu,I was shocked,negative
mari intense,very intense,neutral
paisa vasool,worth of money,positive
chala worst,very bad,negative
okkati sari,one time,neutral
jhakaas hai,feels great,positive
super scene,awesome moment,positive
scene tight,tough situation,negative
nuvvu super,you are awesome,positive
em cheppali,don’t know what to say,neutral
inka kastam,difficult still,negative
happy tears,tears of joy,positive
sweet reply,nice reply,positive
chetta plan,bad plan,negative
over acting,overacting,negative
josh vundhi,has energy,positive
pakka scene,sure thing,positive
normal undi,it's normal,neutral
light topic,simple topic,neutral
kaani funny,but funny,positive
normal talk,regular talk,neutral
daring undi,has guts,positive
comedy mast,great comedy,positive
kaisā hai,how is it?,neutral
cheppaledu,didn't tell / not said,neutral
reddi undi,there is profit,positive
nalla undi,it's good,positive
tappakunda,definitely,positive
mast scene,awesome moment,positive
worst case,situation is very bad,negative
faltu baat,useless talk,negative
accha laga,felt good,positive
kaisa laga,how did you find it?,neutral
baaga ledu,not good,negative
local undi,feels local,neutral
accha idea,good idea,positive
mari waste,so useless,negative
worst vibe,bad vibe,negative
sadga undi,it’s sad,negative
mass level,totally massy,positive
total mess,full confusion,negative
logic ledu,no logic,negative
worst plan,bad plan,negative
doubt ledu,no doubt,positive
worst talk,terrible talk,negative
total flop,complete failure,negative
heavy word,strong word,neutral
worst mood,very bad mood,negative
great plan,excellent plan,positive
time waste,chance wasted,negative
worst idea,bad idea,negative
fire undi,there’s energy,positive
baaga hai,very good,positive
bura laga,felt bad,negative
inka ledu,not yet,neutral
mana vibe,our vibe,positive
mass undi,feels massy/cool,positive
inka busy,too busy,neutral
worst try,bad attempt,negative
cool undi,feels cool,positive
waste try,useless attempt,negative
cool talk,casual conversation,positive
mast hai,it's awesome,positive
thik hai,okay,neutral
mood off,sad or down,negative
lag undi,feels laggy,negative
bagundi,nice/pleasant,positive
lo ante,if this is what it is,neutral
bagunte,if it's good,positive
aadagaa,waiting,neutral
ok vibe,average vibe,neutral
kamaal,amazing,positive
baaga,very good,positive
aithe,if so,neutral
pagal,mad ,negative
mast,awesome,positive
word,english_equivalent,sentiment_hint
keka,amazing,positive
